method,seed,k,knn_accuracy,svm_accuracy,dataset
Fisher,23,75,61.73076923076923,58.269230769230774,madelon
Fisher,23,100,58.84615384615385,56.34615384615385,madelon
Fisher,23,150,61.346153846153854,59.61538461538461,madelon
Fisher,23,200,57.11538461538461,59.61538461538461,madelon
Fisher,23,300,56.53846153846154,59.23076923076923,madelon
Fisher,23,500,53.26923076923077,56.92307692307692,madelon
Fisher,24,25,75.38461538461539,60.96153846153847,madelon
Fisher,24,50,63.46153846153846,58.65384615384615,madelon
Fisher,24,75,60.192307692307686,57.692307692307686,madelon
Fisher,24,100,56.34615384615385,60.0,madelon
Fisher,24,150,56.15384615384615,61.15384615384616,madelon
Fisher,24,200,55.00000000000001,57.692307692307686,madelon
Fisher,24,300,53.84615384615385,56.92307692307692,madelon
Fisher,24,500,54.230769230769226,56.730769230769226,madelon
DDFF-L1,0,25,76.53846153846153,57.692307692307686,madelon
DDFF-L1,0,50,65.38461538461539,56.92307692307692,madelon
DDFF-L1,0,75,65.96153846153847,56.730769230769226,madelon
DDFF-L1,0,100,64.23076923076924,55.769230769230774,madelon
DDFF-L1,0,150,66.34615384615384,59.23076923076923,madelon
DDFF-L1,0,200,60.57692307692307,56.92307692307692,madelon
DDFF-L1,0,300,55.96153846153846,55.57692307692308,madelon
DDFF-L1,0,500,53.07692307692308,54.03846153846153,madelon
DDFF-L1,1,25,74.8076923076923,60.192307692307686,madelon
DDFF-L1,1,50,70.1923076923077,62.30769230769231,madelon
DDFF-L1,1,75,68.07692307692308,60.0,madelon
DDFF-L1,1,100,63.84615384615384,60.0,madelon
DDFF-L1,1,150,61.73076923076923,57.692307692307686,madelon
DDFF-L1,1,200,60.0,57.30769230769231,madelon
DDFF-L1,1,300,58.65384615384615,56.92307692307692,madelon
DDFF-L1,1,500,52.88461538461539,60.192307692307686,madelon
DDFF-L1,2,25,78.65384615384615,60.96153846153847,madelon
DDFF-L1,2,50,72.5,57.692307692307686,madelon
DDFF-L1,2,75,70.57692307692308,56.92307692307692,madelon
DDFF-L1,2,100,66.92307692307692,56.92307692307692,madelon
DDFF-L1,2,150,64.42307692307693,56.53846153846154,madelon
DDFF-L1,2,200,60.57692307692307,56.92307692307692,madelon
DDFF-L1,2,300,56.730769230769226,55.57692307692308,madelon
DDFF-L1,2,500,49.80769230769231,51.73076923076923,madelon
DDFF-L1,3,25,77.88461538461539,60.192307692307686,madelon
DDFF-L1,3,50,71.34615384615385,57.88461538461539,madelon
DDFF-L1,3,75,68.65384615384616,58.07692307692308,madelon
DDFF-L1,3,100,65.96153846153847,57.11538461538461,madelon
DDFF-L1,3,150,64.8076923076923,58.269230769230774,madelon
DDFF-L1,3,200,61.15384615384616,59.23076923076923,madelon
DDFF-L1,3,300,57.11538461538461,56.53846153846154,madelon
DDFF-L1,3,500,59.03846153846154,56.92307692307692,madelon
DDFF-L1,4,25,82.11538461538461,62.5,madelon
DDFF-L1,4,50,71.34615384615385,61.53846153846154,madelon
DDFF-L1,4,75,62.5,63.26923076923077,madelon
DDFF-L1,4,100,69.42307692307692,60.0,madelon
DDFF-L1,4,150,61.73076923076923,60.192307692307686,madelon
DDFF-L1,4,200,59.42307692307692,58.07692307692308,madelon
DDFF-L1,4,300,60.192307692307686,56.15384615384615,madelon
DDFF-L1,4,500,51.92307692307693,57.692307692307686,madelon
DDFF-L1,5,25,75.1923076923077,61.73076923076923,madelon
DDFF-L1,5,50,72.88461538461539,59.61538461538461,madelon
DDFF-L1,5,75,66.73076923076923,58.07692307692308,madelon
DDFF-L1,5,100,65.0,58.07692307692308,madelon
DDFF-L1,5,150,62.88461538461539,56.15384615384615,madelon
DDFF-L1,5,200,60.76923076923077,51.92307692307693,madelon
DDFF-L1,5,300,55.38461538461539,51.34615384615384,madelon
DDFF-L1,5,500,52.88461538461539,52.69230769230769,madelon
DDFF-L1,6,25,76.15384615384615,60.0,madelon
DDFF-L1,6,50,70.1923076923077,60.76923076923077,madelon
DDFF-L1,6,75,70.0,58.65384615384615,madelon
DDFF-L1,6,100,65.96153846153847,58.07692307692308,madelon
DDFF-L1,6,150,66.92307692307692,58.46153846153847,madelon
DDFF-L1,6,200,59.80769230769231,56.34615384615385,madelon
DDFF-L1,6,300,57.11538461538461,55.57692307692308,madelon
DDFF-L1,6,500,56.34615384615385,57.11538461538461,madelon
DDFF-L1,7,25,74.42307692307692,62.30769230769231,madelon
DDFF-L1,7,50,66.73076923076923,59.03846153846154,madelon
DDFF-L1,7,75,69.8076923076923,57.30769230769231,madelon
DDFF-L1,7,100,68.46153846153847,59.23076923076923,madelon
DDFF-L1,7,150,61.346153846153854,56.15384615384615,madelon
DDFF-L1,7,200,57.88461538461539,55.769230769230774,madelon
DDFF-L1,7,300,55.19230769230769,55.00000000000001,madelon
DDFF-L1,7,500,50.57692307692307,54.807692307692314,madelon
DDFF-L1,8,25,75.76923076923077,57.692307692307686,madelon
DDFF-L1,8,50,65.0,57.88461538461539,madelon
DDFF-L1,8,75,64.03846153846153,58.07692307692308,madelon
DDFF-L1,8,100,64.42307692307693,57.11538461538461,madelon
DDFF-L1,8,150,62.69230769230769,59.03846153846154,madelon
DDFF-L1,8,200,56.34615384615385,55.57692307692308,madelon
DDFF-L1,8,300,55.38461538461539,55.00000000000001,madelon
DDFF-L1,8,500,54.807692307692314,53.46153846153846,madelon
DDFF-L1,9,25,73.46153846153847,59.23076923076923,madelon
DDFF-L1,9,50,72.88461538461539,59.61538461538461,madelon
DDFF-L1,9,75,64.8076923076923,58.65384615384615,madelon
DDFF-L1,9,100,64.23076923076924,55.96153846153846,madelon
DDFF-L1,9,150,60.38461538461538,55.96153846153846,madelon
DDFF-L1,9,200,59.42307692307692,56.53846153846154,madelon
DDFF-L1,9,300,56.34615384615385,56.53846153846154,madelon
DDFF-L1,9,500,56.730769230769226,54.61538461538461,madelon
DDFF-L1,10,25,79.8076923076923,60.38461538461538,madelon
DDFF-L1,10,50,68.46153846153847,59.80769230769231,madelon
DDFF-L1,10,75,68.07692307692308,61.73076923076923,madelon
DDFF-L1,10,100,66.53846153846153,60.38461538461538,madelon
DDFF-L1,10,150,62.88461538461539,58.269230769230774,madelon
DDFF-L1,10,200,60.38461538461538,55.769230769230774,madelon
DDFF-L1,10,300,61.73076923076923,54.807692307692314,madelon
DDFF-L1,10,500,53.84615384615385,53.46153846153846,madelon
